Italiano,Español
miei,mi
amico,Amigo
dice,Él dice
sarebbe,sería
avete,tienes
altra,otro
deve,necesita
sulla,sobre el
qualche,alguno
sembra,parece
gente,gente
dobbiamo,tenemos que
modo,forma
tre,Tres
momento,momento
prego,Por favor
parlare,hablar
mamma,mamá
guarda,Mirar
signora,Dama
grande,excelente
lì,allá
madre,madre
possiamo,podemos
avanti,Después de usted
avere,tener
successo,éxito
ero,Era
donna,mujer
nuovo,nuevo
ah,Ahorcado
faccio,sí
aveva,Yo tenía
nostro,nuestro
degli,del
questi,estos
siete,eres
forza,Fuerza
piace,acompaños
bella,Bonito
dov',a donde
soldi,dinero
avevo,Yo tenía
favore,favor
fosse,es
altri,otros
dispiace,Lo siento
subito,de inmediato
dentro,adentro
oggi,Hoy
accordo,acuerdo
tutta,todo
faccia,rostro
nome,nombre de pila
ok,OK
notte,Noche
queste,estos
figlio,hijo
mondo,mundo
nostra,nuestro
sapere,saber
vado,Voy
tutte,todo
aspetta,Esperar
amare,amar
moglie,esposa
sicuro,Seguro
suoi,su
penso,Creo
paura,miedo
idea,idea
testa,cabeza
papà,Papa
giusto,Bien
eh,eh
vorrei,Me gustaría
senti,sentir
presto,Pronto
uomini,hombres
ll,LL
basta,Suficiente
potrebbe,podría ser
stesso,mismo
avuto,tenía
porta,trayera
erano,Ellos eran
stare,quedarse
buona,Bien
quindi,Por lo tanto
farlo,para hacerlo
appena,tan pronto como
abbia,tener
ragione,razón
sentito,sentido
ragazzi,Niños
domani,Mañana
ragazza,muchacha
ragazzo,muchacho
insieme,Juntos
sotto,bajo
volevo,quise
pronto,listo
nei,en el
ciò,eso es
volte,veces
capito,Comprendido
succede,ocurrir
preso,tomado 
facendo,haciendo
piacere,Placer
morto,fallecido
tuoi,su
capitano,capitán
letto,Cama
storia,historia
caso,caso
trovato,encontró
amici,amigos
venire,venir
dico,yo digo
capisco,Entiendo
problema,problema
fino,hasta
tipo,chico
là,allá
qua,aquí
pensi,pensar
aver,tener
giorni,días
cazzo,Mierda
okay,bueno
nulla,Nada
bello,Elegante
persone,gente
buon,Bien
terra,Tierra
ia,I a
dato,dado
secondo,segundo
film,película
nell',en el'
mano,mano
facciamo,hacemos
vediamo,Vemos
vedo,Veo
stanno,ellos son
avrei,Quisiera
prendere,llevar
dici,tu dices
serve,atender
morte,muerte
meno,menos
città,ciudad
occhi,ojos
fine,fin
Sig.,Señor
ê,Y
tesoro,tesoro
scusi,Disculpe
primo,primero
credi,creer
salve,Saludos
nave,barco
stiamo,somos
sera,noche
piano,piso
sento,Siento
macchina,máquina
vostro,su
mani,manos
neanche,ni siquiera
dall',de
dottore,doctor
quale,Cual
abbastanza,Suficiente
tardi,tarde
bel,lindo
cuore,Corazón
famiglia,familia
far,hacer
stati,Estados
aiuto,ayuda
diavolo,demonio
nostri,nuestro
col,con el
quasi,Casi
polizia,policía
capo,jefe
avrebbe,tendría
quei,aquellos
mie,mi
tornare,devolver
però,Sin embargo
contro,contra
viene,él viene
mentre,Mientras
scusa,Disculpe
sola,solitario
spero,Espero
quelle,aquellos
trovare,encontrar
giro,recorrido
anch',también
guerra,guerra
sue,su
bambino,niño
strada,calle
vecchio,viejo
fratello,Hermano
acqua,cascada
stasera,esta noche
pensavo,Pensé
chiama,quien ama
persona,persona
vedi,verás
fu,era
anno,año
vostra,su
veramente,Realmente
finito,finalizado
marito,Marido
minuti,minutos
giù,abajo
donne,mujer
bravo,buen chico
bambini,niños
ricordi,recuerdos
quelli,aquellos
state,estado
ore,horas
stavo,Era
dovuto,pendiente
nemmeno,ni
venuto,próximo
indietro,hacia atrás
stessa,mismo
importa,importa
nessun,No
punto,punto
invece,En cambio
perso,perdido
possibile,posible
ucciso,delicado
forte,fuerte
pensato,pensamiento
dovrebbe,debería
pensa,pensamiento
poco,pequeño
parla,habla
farò,faro
cercando,Buscando
l,L
verità,verdad
andato,izquierda
quell',eso'
re,rey
fanno,ellas hacen
potrei,pude
importante,importante
quest',este
amo,Amo
chiesto,preguntó
cosi,Como esto
nelle,en
felice,feliz
piedi,pies
merda,mierda
piccolo,pequeño
prendi,usted toma
dietro,detrás
sapevo,yo sabía
buongiorno,Buen día
passato,pasado
dollari,dólares
com',como
pure,puré de patatas
pensare,pensar
cinque,cinco
vicino,Vecino
uscire,salir
conosco,Sé
verso,hacia
altre,otro
quattro,cuatro
morire,morir
sangue,sangre
John,John
eri,eras
almeno,al menos
dica,decir
lascia,hojas
vivere,vivir
colpa,culpa
portato,transportado
entrare,ingresar
ricordo,Recuerdo
pace,paz
roba,cosa
Jack,Jacobo
migliore,mejorar
fate,tú haces
difficile,difícil
settimana,semana
ultima,último
dovrei,Yo debería
fatta,hecho
conto,Yo cuento
stanza,habitación
fra,entre
comunque,De todos modos
sentire,sentir
numero,número
parlato,habló
mente,mente
messo,Poner en orden
strano,extraño
fortuna,fortuna
perdere,PERDER
tue,su
né,ni
figlia,Hija
molti,muchos
volete,quieres
dottor,Doctor
parola,palabra
signori,caballeros
andata,exterior
vista,vista
vede,ver
nessuna,ninguno
finché,hasta
dare,dar
dammi,dame
Mr.,Señor.
mesi,meses
fuoco,fuego
voleva,él quería
mangiare,comer
lasciato,izquierda
figli,niños
serio,grave
paese,aldea
farà,hará
capire,entender
mezzo,medio
prova,ensayo
cara,Estimado
perche',Por qué'
cane,perro
dimmi,Dime
fossi,bucear
senso,sentido
James,Jaime
riesco,soy capaz de
ieri,Ayer
possa,poder
potuto,podría
scuola,escuela
S.,S.
possono,poder
lavorare,trabajar
significa,significa
resto,descansar
vada,ir
piccola,pequeño
pare,parece
bere,Bebiendo
ben,Bueno
cena,cena
giovane,joven
problemi,problemas
quanti,cuántos
gran,grande
attimo,momento
ascolta,Escuchar
agli,a
dovresti,debería
corpo,cuerpo
musica,música
gioco,juego
qual,eso
aria,aire
sarò,seré
farmi,Hazme
magari,Tal vez
davanti,delante de
new,nuevo
chiamo,llamar
genere,tipo 
libro,libro
domanda,pedido
chiamato,llamado
passare,aprobar
dalle,darle
campo,campo
lungo,largo
torna,atrás
paio,par
stava,era
finita,finito
saranno,ellos estarán
vogliono,ellos quieren
hey,Ey
cielo,cielo
parole,palabras
auto,auto
sorella,hermana
nuova,nuevo
stia,stia
signorina,Extrañar
festa,fiesta
spiace,desagradable
sopra,arriba
bisogna,debe
vuol,vuol
telefono,teléfono
affari,negocio
facile,fácil
parlando,discurso
caro,Estimado
sui,en
pronti,listo
restare,permanecer
attenzione,Atención
crede,Crees
nostre,nuestro
controllo,controlar
molte,muchos
unica,único
dovremmo,deberíamos
farti,hará
soltanto,solo
piu',más'
buono,Bien
puttana,puta
vivo,yo vivo
sappiamo,sabemos
luce,luz
generale,general
qualsiasi,cualquier
vogliamo,queremos
ultimo,último
dicono,ellos dicen
benissimo,Muy bien
Harry,Harry
foto,foto
unico,único
onore,honor
ragazze,chicas
scritto,escrito
andate,ir
tieni,mantener
siano,ellos son
ufficio,oficina
entra,ingresar
chiedo,Pregunto
coraggio,coraje
andando,yendo
venga,venir
dieci,diez
credevo,yo creí
voglia,quiere
potremmo,Pudimos
esatto,Exactamente
credere,creer
tratta,trata con
eravamo,éramos
arrivato,llegó
bambina,chica
pistola,pistola
voce,voz
dormire,dormir
lasci,dejar
avessi,tenía
chiaro,claro
aspetto,yo espero
squadra,equipo
attento,cuidadoso
cerca,cerca
ordine,orden
Joey,Joey
arrivederci,Hasta que nos encontremos de nuevo
arriva,el llega
armi,arma
sulle,en
ormai,en este punto
maggiore,mayor que
fretta,correr
sarai,usted será
sacco,bolsa
fatti,hechos
York,York
parli,tu hablas
colpo,golpear
sarei,Sería
m',m '
caffè,café
capisci,tú entiendes
dicendo,dicho
vostri,su
camera,habitación
alcuni,alguno
cercare,buscar
arrivo,llego
aspettare,esperar
situazione,situación
faremo,nosotros lo haremos
deciso,decidido
esattamente,Exactamente
dev',debería
addio,Adiós
scena,escena
inglese,Inglés
perfetto,Perfecto
potete,puede
fammi,hazlo por mi
alto,alto
dello,del
prendo,tomo
conosci,sabes
be',Bueno
sapete,sabes
pazzo,loco
chiami,Quién es su amor
tornato,recuperar
sicura,seguro
lasciare,dejar
capelli,cabello
potere,dulces
avevi,tu tenias
morti,muerto
avrà,tendrá
fantastico,Fantástico
matrimonio,casamiento
passo,paso
portare,traer
aspetti,aspecto
torno,atrás
arrivare,llegar
guai,problema
trova,hallazgos
motivo,razón
resta,permanecer
inizio,comenzar
smettila,Para
diventare,convertirse
potresti,tú podrías
n',n '
voluto,buscado
vanno,ellos van
disse,Ella dijo
morta,muerto
de,Delaware
bagno,baño
zio,Tío
futuro,futuro
sbagliato,equivocado
guardi,mirar
cosi',Como esto'
sicurezza,seguridad
pezzo,pedazo
devono,Tienen que
venuta,próximo
allo,en el
tenente,teniente
silenzio,silencio
porto,puerto
uccidere,matar
odio,odiar
sull',en
giocare,jugar
lontano,distante
durante,durante
segreto,secreto
sole,Sol
mettere,poner
venite,venir
dirmi,dime
sistema,sistema
viaggio,viaje
causa,causa
r,riñonal
comandante,comandante
settimane,semanas
semplice,simple
minuto,minuto
divertente,divertido
avresti,tuvieras
grandi,grande
presidente,presidente
bocca,boca
permesso,permiso
vecchia,viejo
culo,culo
sogno,sueño
glielo,él
c,C
guardare,mirar
probabilmente,probablemente
vengo,Yo voy
lasciami,Déjame
ie,es decir
negli,en
do,hacer
fermo,interrumpido
zitto,Callarse la boca
vera,real
tante,muchos
ln,LN
colonnello,coronel
stupido,estúpido
Cristo,Cristo
conosce,saber
fame,hambre
cura,tratamiento
prigione,prisión
finire,finalizar
farai,harás
d,d
buonanotte,Buenas noches
Tom,Tomás
prossima,próximo
brava,Bien
specie,especies
prende,acepta
piacerebbe,gustaría
circa,acerca de
funziona,obras
dovete,tienes que
brutto,feo
vattene,salir
sente,sentir
cavallo,caballo
peccato,Pecado
mattina,mañana
consiglio,aconsejar
cambiare,cambiar
saperlo,Lo sé
usare,usar
naturalmente,naturalmente
continua,continúa
scelta,elección
possibilità,posibilidad
spesso,A menudo
dà,de
dirti,decirte
piuttosto,bastante
trovo,Encuentro
fondo,abajo
ricorda,recordar
guardate,mirar
ospedale,hospital
qualunque,alguien
Maria,María
andrà,iré
legge,ley
agente,agente
oltre,más allá de
avesse,tenía
servizio,servicio
tanti,muchos
messaggio,mensaje
giornata,día
faceva,Él hizo
energia,fuerza
incredibile,increíble
sala,habitación
mandato,mandato
chiamare,llamar
doveva,a donde vaya
libero,gratis
aereo,avión
ricevuto,recibió
porti,puerto
preoccuparti,preocuparse
uh,oh
finalmente,finalmente
quali,cual
stronzo,Estúpido
mostro,monstruo
sette,Siete
pronta,listo
metti,pones
Henry,Enrique
programma,plan
poteva,el podria
parti,activar
saputo,conocido
partita,fósforo
gentile,Amable
poter,ser capaz
freddo,Freddo
s',s'
piacciono,como
Clark,Aclarar
vederti,nos vemos
domande,peticiones
peggio,peor
sanno,ellos saben
genitori,padres
amica,amigo
solito,habitual
anima,alma
terribile,horrible
buonasera,Buenas noches
oro,oro
occhio,ojo
si',Sí'
radio,radio
quante,cuánto es
pieno,lleno
rapporto,relación
avrai,usted tendrá
alcune,alguien
provare,intentar
carino,lindo
scoperto,descubrimiento
America,America
denaro,dinero
compagnia,compañía
interessante,Interesante
avvocato,abogado
t',T
vestito,vestido
ottimo,Óptimo
avevano,tuvieron
esercito,ejército
vestiti,ropa
treno,tren
succedendo,subsiguiente
mese,mes
impossibile,imposible
chiunque,quien
vale,valle
nello,en
milioni,millones
cibo,alimento
tempi,tiempo
jim,Jim
piu,más
laggiù,allí
intorno,ambiente
servono,necesidad
chiave,llave
coi,con
diritto,bien
dimenticato,olvidado
ve,ver
natale,Navidad
calma,calma
altrimenti,de lo contrario
t,T
Miss,Extrañar
provato,intentó
dirlo,házle
cinema,cine
chiedere,preguntar
ritardo,demora
realtà,realidad
mare,mar
maestro,maestro
TV,TELEVISOR
pagare,pagar
pianeta,planeta
fronte,frente
addosso,en
entrambi,ambos
dia,diamante
cambiato,cambió
interessa,interés
assolutamente,absolutamente
risposta,respuesta
rispetto,respeto
pena,multa
Gesù,Jesús
Michael,Miguel
incontro,encontrar
cercato,buscado
occhiata,mirar
pensando,pensar
cioè,Que quieres decir
the,té
notizie,noticias
sorpresa,sorpresa
bastardo,Bastardo
salute,Salud
lettera,carta
incidente,accidente
grosso,grande
soli,soles
mica,no
sembrava,Parecio
grado,calificación
aiutare,ayuda
sinistra,izquierda
dovevo,Tuve que
contento,feliz
canzone,canción
sapeva,Él sabía
santo,santo
verrà,vendrá
saremo,estaremos
speciale,especial
diceva,él dijo
posizione,posición
gruppo,grupo
giuro,Lo juro
